length,sol_ciph_FD,sol_ciph_LW,sol_exact
64.0,0.18714555901150529,0.0004503757227460555,-5.99903913064743e-32
64.0,0.18615126249717828,0.0007198225442757734,2.4007275433234525e-17
64.0,0.1833640242518724,0.0009837737409995365,4.7783347680335573e-17
64.0,0.17881059186715123,0.00123644411950501,7.109924016823987e-17
64.0,0.17253485391047962,0.0014754431161060671,9.373040810652601e-17
64.0,0.16459714147783933,0.0017005181390967728,1.1545890097649303e-16
64.0,0.15507474610553781,0.0019112512051064762,1.3607546151380092e-16
64.0,0.1440587921702219,0.0021031549194875324,1.5538154097031715e-16
64.0,0.1316550917427376,0.002273465286381758,1.731912112470986e-16
64.0,0.1179847139114458,0.002422927594909172,1.8933295548362395e-16
64.0,0.10317741157550225,0.002549057835123778,2.0365131985892056e-16
64.0,0.08737614665381524,0.0026514234370027547,2.160084106968399e-16
64.0,0.07073460273475747,0.0027257457613093995,2.2628522245754e-16
64.0,0.05341084026539265,0.0027755395869978423,2.3438278382588863e-16
64.0,0.035572419742999614,0.002799128784469784,2.4022311085933105e-16
64.0,0.017392327579177462,0.002796441207638709,2.437499580158879e-16
64.0,-0.0009559520488908405,0.0027646807418403286,2.4492935982947064e-16
64.0,-0.019294336526258282,0.0027053712380707457,2.437499580158879e-16
64.0,-0.03744753957372078,0.0026219361454917216,2.4022311085933115e-16
64.0,-0.05523992982550474,0.002512375099936845,2.343827838258886e-16
64.0,-0.07250036675609726,0.002379617463898375,2.2628522245754005e-16
64.0,-0.089062624842128,0.0022240814934957657,2.1600841069683998e-16
64.0,-0.10476720866040452,0.0020479049935599055,2.0365131985892063e-16
64.0,-0.11946310787911951,0.0018488704274921828,1.8933295548362417e-16
64.0,-0.13300800377856833,0.0016356486503328815,1.7319121124709885e-16
64.0,-0.1452715443572741,0.0014041088785315538,1.5538154097031712e-16
64.0,-0.1561366685185903,0.0011596364634768662,1.3607546151380102e-16
64.0,-0.16549811731869907,0.0009045572164096237,1.1545890097649316e-16
64.0,-0.1732651560121006,0.0006391845120786822,9.373040810652614e-17
64.0,-0.17936447591942234,0.0003681212159855415,7.109924016824023e-17
64.0,-0.18373606723838468,9.441110640056569e-5,4.7783347680335505e-17
64.0,-0.1863382335520149,-0.0001779545666744871,2.4007275433234673e-17
64.0,-0.18714626632736708,-0.0004499000850213108,8.998558695971146e-32
64.0,-0.1861512546308548,-0.0007204268023685351,-2.4007275433234494e-17
64.0,-0.18336340709927756,-0.0009817090619375888,-4.7783347680335327e-17
64.0,-0.1788097067287442,-0.0012337736276527424,-7.109924016824005e-17
64.0,-0.17253413440831658,-0.001473477063929018,-9.373040810652598e-17
64.0,-0.16459693008605877,-0.0017004517801673927,-1.15458900976493e-16
64.0,-0.1550747943574574,-0.0019109081553517217,-1.360754615138009e-16
64.0,-0.14405887758523886,-0.0021046823468292377,-1.5538154097031697e-16
64.0,-0.13165605259225255,-0.002273664689191579,-1.7319121124709876e-16
64.0,-0.11798483236104186,-0.002422526488071814,-1.8933295548362407e-16
64.0,-0.10317810481995976,-0.002548804090414813,-2.0365131985892053e-16
64.0,-0.08737692604503493,-0.0026533747167073007,-2.160084106968399e-16
64.0,-0.07073428126712193,-0.00272985725475581,-2.2628522245754e-16
64.0,-0.05341085953825162,-0.00277710652313906,-2.3438278382588853e-16
64.0,-0.035572748707925594,-0.0027998144401379472,-2.402231108593311e-16
64.0,-0.01739238515002343,-0.002793996531456018,-2.437499580158879e-16
64.0,0.0009558483702636896,-0.0027654747499927745,-2.4492935982947064e-16
64.0,0.019294186786575643,-0.002707641235501396,-2.437499580158879e-16
64.0,0.03744780469726928,-0.002623551672207829,-2.4022311085933115e-16
64.0,0.05523970847295058,-0.0025156006259445716,-2.343827838258886e-16
64.0,0.07250069991878892,-0.002380392983132339,-2.2628522245754005e-16
64.0,0.08906220210047465,-0.002224538250451993,-2.1600841069683998e-16
64.0,0.10476674998733577,-0.002045137016906168,-2.0365131985892063e-16
64.0,0.11946300381818258,-0.0018466899496305744,-1.8933295548362417e-16
64.0,0.1330074304615452,-0.0016328493496227164,-1.7319121124709888e-16
64.0,0.1452721792420815,-0.0014005441179458997,-1.5538154097031715e-16
64.0,0.1561374848641816,-0.001159320803790923,-1.3607546151380104e-16
64.0,0.1654980050175615,-0.0009052364339490482,-1.1545890097649318e-16
64.0,0.17326548001678524,-0.0006398475852039224,-9.373040810652617e-17
64.0,0.1793649613906628,-0.0003706268531490341,-7.109924016824025e-17
64.0,0.18373638549881957,-9.794204922046068e-5,-4.7783347680335536e-17
64.0,0.18633821993607594,0.00017843381367955925,-2.4007275433234704e-17
64.0,0.18633897703869068,0.00017768761569015727,-2.4007275433234645e-17
64.0,0.19232597890749423,0.010052399663104917,0.009607359798384708
64.0,0.19646229752682923,0.01982840215814729,0.01912219546999399
64.0,0.19870624650981253,0.02941926781537352,0.028452873945971784
64.0,0.19903648468726962,0.03872276146563923,0.0375095356919269
64.0,0.19744952618547,0.04765356051970912,0.0462049601043707
64.0,0.1939610545718169,0.05612201069885753,0.054455405492808945
64.0,0.18860390050478643,0.06405205245204221,0.0621814155579988
64.0,0.18143130268582522,0.07136712663114636,0.06930858459954564
64.0,0.17251145956647174,0.07799499320995376,0.07576827408347253
64.0,0.16193058726050258,0.08387057801937423,0.08149827366882384
64.0,0.14978978467179876,0.08893643978340661,0.08644340032725613
64.0,0.13620673186587892,0.09314943129673019,0.09055602978576753
64.0,0.12131120459041034,0.09646341835710083,0.09379655517448066
64.0,0.10524793724641049,0.0988484211103894,0.09613376846245078
64.0,0.08817158533096572,0.1002841509538972,0.09754516100806404
64.0,0.07024481032321742,0.10075041940586192,0.0980171403295605
64.0,0.051642767367530824,0.10024704412720525,0.09754516100806404
64.0,0.03254327058180388,0.09878069471500105,0.09613376846245081
64.0,0.013130008397251427,0.09635994137158352,0.09379655517448064
64.0,-0.006409883455871382,0.09301315820736467,0.09055602978576754
64.0,-0.02588814275912494,0.08876829036741417,0.08644340032725616
64.0,-0.04511664286274757,0.08367107707788153,0.08149827366882388
64.0,-0.06391106416619921,0.0777675264537732,0.07576827408347263
64.0,-0.082089643730647,0.07111374138213791,0.06930858459954574
64.0,-0.09947786408510502,0.0637768232555568,0.06218141555799878
64.0,-0.11590838862437768,0.05582485303648915,0.054455405492808986
64.0,-0.1312221201121897,0.047337424635279346,0.04620496010437075
64.0,-0.14527222671381196,0.03839018328681529,0.03750953569192695
64.0,-0.15792282801399501,0.029074065720861283,0.028452873945971922
64.0,-0.16905339274885908,0.019479803604459917,0.019122195469993962
64.0,-0.17855582381692603,0.00969593954562815,0.009607359798384769
64.0,-0.18633826855191288,-0.00017962887825915863,3.601091314985196e-17
64.0,-0.19232585534802685,-0.0100540072831468,-0.009607359798384696
64.0,-0.19646245326329564,-0.019829893989260543,-0.019122195469993893
64.0,-0.1987059111879865,-0.029417760238822255,-0.028452873945971853
64.0,-0.1990359587676395,-0.03871870702684072,-0.03750953569192689
64.0,-0.19744866146564127,-0.0476485952130234,-0.04620496010437069
64.0,-0.19396106944563454,-0.05612430642523493,-0.05445540549280893
64.0,-0.188604080697989,-0.06405456626831767,-0.06218141555799873
