steps,L_inf_cipher_plain_LW,L_inf_cipher_plain_FD
1.0,3.311795282456842e-13,4.194916983224495e-13
2.0,2.5607294062979236e-13,1.9039067197801351e-13
3.0,2.5002222514558525e-13,2.0273799999914743e-13
4.0,2.364219930939271e-13,1.4743414822326883e-13
5.0,2.0317081350640365e-13,1.2567724638756772e-13
6.0,1.9011181517925024e-13,1.20570220474292e-13
7.0,1.9317880628477724e-13,1.0491607582707729e-13
8.0,2.0675822165472368e-13,9.82963710427498e-14
9.0,1.8327006578999772e-13,8.72635297355373e-14
10.0,1.6364687382974807e-13,8.95672425116345e-14
11.0,1.7477685965161527e-13,7.811806757018758e-14
12.0,1.58192903221277e-13,8.401612738850872e-14
13.0,2.0339285811132868e-13,8.24548762601296e-14
14.0,1.6120438317557273e-13,7.854827899222983e-14
15.0,1.5626389071599078e-13,7.761846720910626e-14
16.0,1.921796055626146e-13,7.133182933216631e-14
17.0,1.5701329125761276e-13,7.485678743535118e-14
18.0,1.566524687746096e-13,7.044365091246618e-14
19.0,1.5648593532091581e-13,6.350475700855895e-14
20.0,1.428301921180264e-13,6.647460359943125e-14
21.0,2.9609837620681034e-6,6.86395384974503e-14
22.0,2.506506891208904e-6,2.3567959552273088e-6
23.0,3.0520169686520937e-6,2.007277460802648e-6
24.0,2.0484111719620834e-6,1.6036623557702523e-6
25.0,2.0755323533738768e-6,1.3788736603174978e-6
26.0,2.196653505093238e-6,1.2161726763437741e-6
27.0,1.8989126478463625e-6,1.2115669033585519e-6
28.0,1.9281962855277612e-6,1.0008388617865904e-6
29.0,2.2466257300624015e-6,1.086369635527884e-6
30.0,1.9495455065854372e-6,9.740988610174028e-7
31.0,1.9925822987154618e-6,8.944768239427248e-7
32.0,3.4031886578800297e-6,9.203795943580739e-7
33.0,2.951957700118163e-6,7.797353729355194e-7
34.0,2.532583150860468e-6,2.7173206784691928e-6
35.0,2.9766127653818586e-6,1.956970065108976e-6
36.0,2.6897528521141467e-6,2.1270015453378477e-6
37.0,2.3770096926056805e-6,1.5224310352945913e-6
38.0,2.991634088123085e-6,1.4919788632883346e-6
39.0,2.8182173588131576e-6,1.587561039295693e-6
40.0,2.256811309719886e-6,1.3385610483362953e-6
41.0,2.3108092715440343e-6,1.1838494715088466e-6
42.0,2.4096562485087514e-6,1.2676795755873181e-6
43.0,4.126362577488996e-6,1.1777922397371299e-6
44.0,3.7080876632566984e-6,1.2555498004607202e-6
45.0,3.3730612747362443e-6,1.045250666131814e-6
46.0,2.81187311171327e-6,2.8716497532943475e-6
47.0,3.149710866345856e-6,2.187667442324348e-6
48.0,2.833351509346632e-6,1.8280380457147416e-6
49.0,3.214311659727187e-6,1.6594669777214577e-6
50.0,2.959072303521104e-6,1.52636896227909e-6
51.0,2.643762429810348e-6,1.3686584362515575e-6
52.0,2.7065546199800394e-6,1.2648851151616722e-6
53.0,2.8369981167619684e-6,1.313245482199854e-6
54.0,4.230059022725108e-6,1.1307064463339511e-6
55.0,3.639368881702687e-6,1.0703217767638051e-6
56.0,4.150411016839994e-6,1.0811909105790107e-6
57.0,3.974051951072255e-6,1.1557030689390846e-6
58.0,3.5332565032630825e-6,2.549336539758862e-6
59.0,2.898358276104407e-6,2.4309215290729824e-6
60.0,2.776282111260908e-6,1.7184379831336472e-6
61.0,2.9322588073658158e-6,1.8745295857214295e-6
62.0,3.3136746203643597e-6,1.5100595978090325e-6
63.0,3.199258882646827e-6,1.407244178075473e-6
64.0,3.1840111928138626e-6,1.4020522532687263e-6
65.0,4.076758965909644e-6,1.5611087210709584e-6
66.0,4.544238924375499e-6,1.292502767924475e-6
67.0,3.70641170749364e-6,1.2762223395856864e-6
68.0,3.18808577270957e-6,1.281974350231252e-6
69.0,3.618803599503284e-6,1.3896483017639127e-6
70.0,3.989707227203265e-6,3.137531817354322e-6
71.0,3.9269325616715645e-6,2.1804114601897684e-6
72.0,3.5443840465387844e-6,2.043704532939117e-6
73.0,3.4337435714792974e-6,1.6285180503006202e-6
74.0,3.569942303882634e-6,1.5737593316578202e-6
75.0,3.7146364091356077e-6,1.495010548024922e-6
76.0,4.803786619031469e-6,1.3090479110897113e-6
77.0,4.886056266084626e-6,1.449653837581888e-6
78.0,4.140372187988461e-6,1.5213064765429163e-6
79.0,3.808309986419456e-6,1.1827057720958933e-6
80.0,3.7162783433769553e-6,1.3384551486028684e-6
