steps,L_inf_cipher_plain_LW,L_inf_cipher_plain_FD
81.0,3.878094230636009e-6,1.208323537116307e-6
82.0,3.3983719718300165e-6,2.3737110059762756e-6
83.0,3.6638605930214285e-6,2.494722114415593e-6
84.0,3.372784114399896e-6,2.16466913038893e-6
85.0,4.347592067611983e-6,1.5548722069880228e-6
86.0,3.2938459489928462e-6,1.640714079764738e-6
87.0,5.115974417588265e-6,1.5281001849443143e-6
88.0,4.792935134834142e-6,1.5240520473969177e-6
89.0,3.976663549065673e-6,1.328035213576939e-6
90.0,3.9369525952626105e-6,1.1875530780552923e-6
91.0,4.051495564261209e-6,1.3328182685620055e-6
92.0,4.1188519193102735e-6,1.1341132519215869e-6
93.0,4.0975291487055365e-6,1.214497954621363e-6
94.0,3.83732977465856e-6,3.3259419320794126e-6
95.0,4.487367990607671e-6,2.3497804467059735e-6
96.0,3.7857043689859537e-6,2.312430738039828e-6
97.0,4.029099167190964e-6,1.7869428364236661e-6
98.0,5.2148776867183555e-6,1.728154540164839e-6
99.0,4.816487407577341e-6,1.6798092431768996e-6
100.0,4.33375405464731e-6,1.454858151006544e-6
101.0,4.720755500439711e-6,1.5679767565446312e-6
102.0,3.955696068147496e-6,1.431420289188523e-6
103.0,4.8087664430429555e-6,1.3027895015560453e-6
104.0,4.414930939250494e-6,1.2731326886061822e-6
105.0,4.431297777052201e-6,1.2056306617491686e-6
106.0,4.465610227710748e-6,3.2463166731167004e-6
107.0,4.052704766888127e-6,2.523387330893856e-6
108.0,3.951516735822835e-6,1.9007379347124598e-6
109.0,5.175696358272752e-6,2.223116730828978e-6
110.0,5.001683813926627e-6,1.7806624984517683e-6
111.0,5.094959292101242e-6,1.65965343323915e-6
112.0,4.1161424030322635e-6,1.615348474426348e-6
113.0,4.642157559756055e-6,1.4256566961412531e-6
114.0,4.371322591345539e-6,1.4278742094253616e-6
115.0,4.189202119420088e-6,1.4766749562022952e-6
116.0,3.9309205470683395e-6,1.4200839678624178e-6
117.0,4.339561838984096e-6,1.1970080774775793e-6
118.0,4.269672491820364e-6,2.812884997260845e-6
119.0,3.984411969512602e-6,2.0568468910298066e-6
120.0,4.492599218419713e-6,1.9877756438912986e-6
121.0,4.583180584494251e-6,1.7848587741120525e-6
122.0,4.511868063050706e-6,1.7869770162493026e-6
123.0,4.400959017436534e-6,1.5943806171980768e-6
124.0,4.389771809165666e-6,1.5750110892442937e-6
125.0,4.0069863886937895e-6,1.6358902764079808e-6
126.0,4.9778990341350915e-6,1.397319238649608e-6
127.0,4.3437196272783085e-6,1.458339938031905e-6
128.0,4.768487699625956e-6,1.4194961408947604e-6
129.0,4.298096916044436e-6,1.33233807897426e-6
130.0,4.58350866912316e-6,2.9723566330464024e-6
131.0,5.597726410150328e-6,2.3475654403748436e-6
132.0,5.280546846564427e-6,2.284392171425509e-6
133.0,4.902640264425884e-6,1.9465062591206284e-6
134.0,4.489958900871782e-6,1.8496680177504388e-6
135.0,4.521387281242184e-6,1.627081325061841e-6
136.0,5.0988263771145625e-6,1.563004880772434e-6
137.0,5.477007596843553e-6,1.6127963127221534e-6
138.0,4.770312922119935e-6,1.5416837176873699e-6
139.0,4.8539378468825944e-6,1.4216341819306422e-6
140.0,5.208303232973055e-6,1.6262654202181537e-6
141.0,4.698661358215617e-6,1.5654423349276136e-6
142.0,5.228817613112113e-6,2.5672795163078632e-6
143.0,4.9166598065815414e-6,2.477726317340334e-6
144.0,5.867669366249606e-6,2.4967032882239337e-6
145.0,5.5105439281666335e-6,1.8729782398363426e-6
146.0,4.534035121572799e-6,2.21476360756645e-6
147.0,4.840009830808789e-6,1.8622466554374384e-6
148.0,4.7478416413948565e-6,1.7407686526693666e-6
149.0,4.29160291137709e-6,1.5198596129417652e-6
150.0,4.737969022922117e-6,1.753147319982773e-6
